	Politics	Business	Football	Film	Technology
Cluster_0	0.012581344902386117	0.004338394793926247	0.004772234273318872	0.9600867678958269	0.01822125813449024
Cluster_1	0.0	0.0023744911804613293	0.9932157394844525	0.0010176390773405698	0.0033921302578018998
Cluster_2	0.016467915956842712	0.08290743895513918	0.09199318568994895	0.00908574673480977	0.79954571266326
Cluster_3	0.08723632463353606	0.9013228459062983	0.0032177332856632105	0.001787629603146228	0.006435466571326421
Cluster_4	0.9698574338085683	0.020773930753564145	0.004480651731160897	0.0012219959266802445	0.0036659877800407333
